latitude,longitude,task_created_time,task_completed_time,amount,cod_received_status,task_assigned_to,task_status,flow,task_id,branch_destination,task_status_label,receiver_city,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id
-6.392165,106.2330333,2022-11-01 10:23:11 +0700,2022-11-01 20:31:13 +0700,83824,True,crummyCrane8,done,Delivery,a931916b659bfdbf6fc1,CLG,Success,"CIMARGA,RANGKASBITUN",KELUARGA/SAUDARA,D09,2,CGK,COLF01
-6.392165,106.2330333,2022-11-01 10:23:11 +0700,2022-11-01 20:31:13 +0700,98092,True,crummyCrane8,done,Delivery,73c0103d8a8abb93acf7,CLG,Success,"CIMARGA,RANGKASBITUN",KELUARGA/SAUDARA,D09,2,CGK,COLF01
-6.392165,106.2330333,2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700,97594,True,crummyCrane8,done,Delivery,e189b4637e779903ef4c,CLG,Success,"CIMARGA,RANGKASBITUN",KELUARGA/SAUDARA,D09,2,CGK,COLF01
-6.392165,106.2330333,2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700,102285,True,crummyCrane8,done,Delivery,8ecd6798233b5642c3f2,CLG,Success,"CIMARGA,RANGKASBITUN",KELUARGA/SAUDARA,D09,3.75,CGK,COLF01
-6.6620723,106.3417801,2022-11-01 11:03:47 +0700,2022-11-01 19:34:19 +0700,38500,True,peacefulVenison0,done,Delivery,ded76448e8b6357f8ea2,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.4,CGK,COLF01
-6.662407,106.3414122,2022-11-01 11:03:46 +0700,2022-11-01 17:45:55 +0700,62000,True,peacefulVenison0,done,Delivery,80d9117ff41aed8b6739,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.35,CGK,COLF01
-6.6618762,106.3453622,2022-11-01 11:03:45 +0700,2022-11-01 19:05:01 +0700,28750,True,peacefulVenison0,done,Delivery,4632ac50d023e7b84d81,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.15,CGK,COLF01
-6.662148,106.3394464,2022-11-01 11:03:45 +0700,2022-11-01 15:02:58 +0700,54317,True,peacefulVenison0,done,Delivery,71b33e0fad089aa7d2e4,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.03,CGK,COLF01
-6.6620723,106.3417801,2022-11-01 11:03:46 +0700,2022-11-01 19:38:45 +0700,27815,True,peacefulVenison0,done,Delivery,fa6c1b167c6d6a992b15,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.02,CGK,COLF01
-6.662407,106.3414122,2022-11-01 11:03:46 +0700,2022-11-01 17:59:43 +0700,111000,True,peacefulVenison0,done,Delivery,c156d56f5900d5053965,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,1.5,CGK,COLF01
-6.662407,106.3414122,2022-11-01 11:03:46 +0700,2022-11-01 17:03:23 +0700,47490,True,peacefulVenison0,done,Delivery,06d4a7b70ed4ce5a99da,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-6.6621694,106.3394394,2022-11-01 11:03:48 +0700,2022-11-01 14:30:49 +0700,26500,True,peacefulVenison0,done,Delivery,be2d54b86b22c8657370,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.3,CGK,COLF01
-6.662407,106.3414122,2022-11-01 11:03:45 +0700,2022-11-01 17:45:55 +0700,29842,True,peacefulVenison0,done,Delivery,58937cf4397aca5e0020,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0,CGK,COLF01
-6.6617872,106.3406764,2022-11-01 11:03:48 +0700,2022-11-01 15:39:00 +0700,17900,True,peacefulVenison0,done,Delivery,6ecb4bb8b57759dc784b,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.05,CGK,COLF01
-6.662407,106.3414122,2022-11-01 11:03:46 +0700,2022-11-01 17:45:55 +0700,48258,True,peacefulVenison0,done,Delivery,d9ce0def1dabfd21aa9d,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,1.51,CGK,COLF01
1.7139167,98.8149147,2022-11-01 09:31:32 +0700,2022-11-01 13:14:31 +0700,None,None,enragedLlama3,done,Delivery,b7f9f3f96def6b866166,DTB,Success,"SARUDIK,TAPANULI TEN",YANG BERSANGKUTAN,D01,1,MES,COLF01
-6.662407,106.3414122,2022-11-01 11:03:47 +0700,2022-11-01 17:45:55 +0700,21822,True,peacefulVenison0,done,Delivery,77348eccb32ea1088d42,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,2,CGK,COLF01
-6.6620723,106.3417801,2022-11-01 11:03:46 +0700,2022-11-01 19:41:17 +0700,70000,True,peacefulVenison0,done,Delivery,5bde5722c7e345fe07a5,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.3,CGK,COLF01
-6.6617872,106.3406764,2022-11-01 11:03:46 +0700,2022-11-01 15:39:00 +0700,32500,True,peacefulVenison0,done,Delivery,95eaa5ab2d7614f7695e,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.1,CGK,COLF01
-6.6620723,106.3417801,2022-11-01 11:03:45 +0700,2022-11-01 19:36:52 +0700,38400,True,peacefulVenison0,done,Delivery,2df83f4aad25f402eba8,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.85,CGK,COLF01
-6.662407,106.3414122,2022-11-01 11:03:45 +0700,2022-11-01 17:45:55 +0700,23000,True,peacefulVenison0,done,Delivery,8bf62108a1ca85257913,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.7,CGK,COLF01
-6.662407,106.3414122,2022-11-01 11:03:47 +0700,2022-11-01 17:03:23 +0700,57750,True,peacefulVenison0,done,Delivery,b27301323c272a32d1a0,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-6.662407,106.3414122,2022-11-01 11:03:46 +0700,2022-11-01 17:03:23 +0700,113000,True,peacefulVenison0,done,Delivery,8b7912576b8c4c1ddcf8,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.9,CGK,COLF01
