,date_start,date_stop,time_start,time_stop,latitude,longitude,amount,cod_received_status,task_status,flow,branch_destination,task_status_label,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id,task_assigned_to,task_id,receiver_city,delivery_time
539,2022-11-01,2022-11-01,08:35:20,12:35:32,-7.9197281,112.5821632,118000.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,1.0,BDO,COLF01,wornoutEggs4,9a170636042cb02c814f,"DAU, KABUPATEN MALAN",240.2
540,2022-11-01,2022-11-01,08:35:17,16:14:58,-7.9111253,112.5838002,167000.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,wornoutEggs4,fda9d6f0e5445184a3ed,"DAU, KABUPATEN MALAN",459.68333333333334
541,2022-11-01,2022-11-01,08:35:18,12:02:37,-7.9157022,112.5839706,42310.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.06,CGK,COLF01,wornoutEggs4,331ed31b26d171674bb0,"DAU, KABUPATEN MALAN",207.31666666666666
542,2022-11-01,2022-11-01,08:35:18,15:58:50,-7.9178067,112.5756795,178000.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,1.0,BDO,COLF01,wornoutEggs4,1e02af63322390b0c9c6,"DAU, KABUPATEN MALAN",443.53333333333336
543,2022-11-01,2022-11-01,08:35:20,14:42:38,-7.9223179,112.5703427,36996.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.08,CGK,COLF01,wornoutEggs4,d087e1c7ac6fc3158613,"DAU, KABUPATEN MALAN",367.3
544,2022-11-01,2022-11-01,08:35:20,14:42:38,-7.9223179,112.5703427,23266.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.05,CGK,COLF01,wornoutEggs4,b233797d80b411a5e84e,"DAU, KABUPATEN MALAN",367.3
545,2022-11-01,2022-11-01,08:35:20,14:55:59,-7.9220293,112.5724284,40494.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.02,CGK,COLF01,wornoutEggs4,26416601439f36683b86,"DAU, KABUPATEN MALAN",380.65
546,2022-11-01,2022-11-01,09:23:37,12:44:43,-6.9910913,110.2531488,212180.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,truthfulGranola5,bc2df6e55c9ca49fdd68,"KALIWUNGU,KENDAL",201.1
547,2022-11-01,2022-11-01,09:23:37,16:06:28,-6.9687606,110.2475431,199000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,truthfulGranola5,38b107eb561a4d5ff6c7,"KALIWUNGU,KENDAL",402.85
548,2022-11-01,2022-11-01,09:23:37,14:03:53,-7.0113471,110.2469202,87653.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,truthfulGranola5,b4cb06bc04e36fce8336,"KALIWUNGU SELATAN,KE",280.26666666666665
549,2022-11-01,2022-11-01,09:23:37,14:11:12,-7.0109607,110.2413355,200000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,truthfulGranola5,487487cc1d2336a90bdd,"KALIWUNGU SELATAN,KE",287.5833333333333
